congestion_detection_starttime	congestion_detection_finishtime	numPeoplePerSec_ave	numPeoplePerSec_max	numPeoplePerSec_min	staytime_ave	staytime_max	staytime_min	human_unique_count
2020/01/22 19:05:00	2020/01/22 19:06:00	0.0	0	0	0.0	0	0	0
2020/01/22 19:06:00	2020/01/22 19:07:00	16.666666666666668	24	18	21.73913043478261	47	3	46
2020/01/22 19:07:00	2020/01/22 19:08:00	23.133333333333333	27	20	22.387096774193548	59	1	62
2020/01/22 19:08:00	2020/01/22 19:09:00	23.766666666666666	30	20	20.666666666666668	60	2	69
2020/01/22 19:09:00	2020/01/22 19:10:00	21.933333333333334	25	18	28.608695652173914	60	2	46
2020/01/22 19:10:00	2020/01/22 19:11:00	25.183333333333334	28	21	27.98148148148148	59	1	54
2020/01/22 19:11:00	2020/01/22 19:12:00	26.916666666666668	30	24	23.75	60	1	68
2020/01/22 19:12:00	2020/01/22 19:13:00	24.55	28	22	25.396551724137932	59	1	58
2020/01/22 19:13:00	2020/01/22 19:14:00	23.816666666666666	26	21	36.64102564102564	60	1	39
2020/01/22 19:14:00	2020/01/22 19:15:00	23.316666666666666	29	21	24.54385964912281	59	2	57
2020/01/22 19:15:00	2020/01/22 19:16:00	26.266666666666666	32	22	21.589041095890412	60	1	73
2020/01/22 19:16:00	2020/01/22 19:17:00	25.25	33	22	23.671875	59	1	64
2020/01/22 19:17:00	2020/01/22 19:18:00	24.366666666666667	28	21	24.366666666666667	60	1	60
2020/01/22 19:18:00	2020/01/22 19:19:00	22.216666666666665	28	18	20.196969696969695	60	2	66
2020/01/22 19:19:00	2020/01/22 19:20:00	19.983333333333334	26	17	23.98	59	1	50
2020/01/22 19:20:00	2020/01/22 19:21:00	21.266666666666666	25	18	22.0	60	1	58
2020/01/22 19:21:00	2020/01/22 19:22:00	20.416666666666668	26	18	23.11320754716981	59	2	53
2020/01/22 19:22:00	2020/01/22 19:23:00	19.483333333333334	26	14	17.191176470588236	60	1	68
2020/01/22 19:23:00	2020/01/22 19:24:00	17.983333333333334	21	13	19.618181818181817	60	1	55
2020/01/22 19:24:00	2020/01/22 19:25:00	19.416666666666668	24	13	19.098360655737704	59	1	61
2020/01/22 19:25:00	2020/01/22 19:26:00	18.316666666666666	21	16	20.735849056603772	60	1	53
2020/01/22 19:26:00	2020/01/22 19:27:00	19.9	27	14	19.258064516129032	59	1	62
2020/01/22 19:27:00	2020/01/22 19:28:00	22.116666666666667	27	18	20.415384615384614	60	1	65
2020/01/22 19:28:00	2020/01/22 19:29:00	22.95	27	20	22.57377049180328	60	2	61
2020/01/22 19:29:00	2020/01/22 19:30:00	19.866666666666667	23	15	21.672727272727272	59	1	55
2020/01/22 19:30:00	2020/01/22 19:31:00	19.933333333333334	26	16	22.566037735849058	60	3	53
2020/01/22 19:31:00	2020/01/22 19:32:00	18.8	24	16	18.193548387096776	59	1	62
2020/01/22 19:32:00	2020/01/22 19:33:00	21.466666666666665	26	18	23.418181818181818	60	1	55
2020/01/22 19:33:00	2020/01/22 19:34:00	18.783333333333335	24	15	19.771929824561404	60	1	57
2020/01/22 19:34:00	2020/01/22 19:35:00	20.466666666666665	24	18	29.238095238095237	59	5	42
2020/01/22 19:35:00	2020/01/22 19:36:00	19.466666666666665	22	16	25.955555555555556	60	1	45
2020/01/22 19:36:00	2020/01/22 19:37:00	16.75	23	12	17.946428571428573	60	2	56
2020/01/22 19:37:00	2020/01/22 19:38:00	13.416666666666666	17	9	19.166666666666668	59	1	42
2020/01/22 19:38:00	2020/01/22 19:39:00	15.633333333333333	19	11	21.813953488372093	60	4	43
2020/01/22 19:39:00	2020/01/22 19:40:00	13.45	18	9	21.81081081081081	60	2	37
2020/01/22 19:40:00	2020/01/22 19:41:00	14.35	19	11	20.5	59	2	42
2020/01/22 19:41:00	2020/01/22 19:42:00	17.333333333333332	25	12	16.50793650793651	60	2	63
2020/01/22 19:42:00	2020/01/22 19:43:00	18.716666666666665	23	15	21.596153846153847	60	1	52
2020/01/22 19:43:00	2020/01/22 19:44:00	17.783333333333335	21	14	23.711111111111112	59	4	45
2020/01/22 19:44:00	2020/01/22 19:45:00	14.483333333333333	19	11	18.891304347826086	60	1	46
2020/01/22 19:45:00	2020/01/22 19:46:00	17.316666666666666	24	13	15.507462686567164	60	1	67
2020/01/22 19:46:00	2020/01/22 19:47:00	15.8	19	13	22.046511627906977	59	1	43
2020/01/22 19:47:00	2020/01/22 19:48:00	14.183333333333334	19	10	20.75609756097561	60	1	41
2020/01/22 19:48:00	2020/01/22 19:49:00	14.233333333333333	18	12	20.829268292682926	60	1	41
2020/01/22 19:49:00	2020/01/22 19:50:00	13.133333333333333	17	10	18.325581395348838	60	1	43
2020/01/22 19:50:00	2020/01/22 19:51:00	12.316666666666666	14	9	17.595238095238095	59	1	42
2020/01/22 19:51:00	2020/01/22 19:52:00	12.433333333333334	17	10	19.128205128205128	60	1	39
2020/01/22 19:52:00	2020/01/22 19:53:00	15.05	20	12	21.5	60	1	42
2020/01/22 19:53:00	2020/01/22 19:54:00	15.183333333333334	20	11	18.22	59	1	50
2020/01/22 19:54:00	2020/01/22 19:55:00	16.266666666666666	19	13	22.697674418604652	60	4	43
2020/01/22 19:55:00	2020/01/22 19:56:00	12.833333333333334	17	10	14.807692307692308	60	1	52
2020/01/22 19:56:00	2020/01/22 19:57:00	12.466666666666667	16	9	16.622222222222224	60	2	45
2020/01/22 19:57:00	2020/01/22 19:58:00	14.1	18	10	15.666666666666666	59	1	54
2020/01/22 19:58:00	2020/01/22 19:59:00	13.65	18	10	18.2	60	1	45
2020/01/22 19:59:00	2020/01/22 20:00:00	12.9	16	10	19.35	60	1	40
2020/01/22 20:00:00	2020/01/22 20:01:00	10.483333333333333	14	7	23.296296296296298	59	4	27
2020/01/22 20:01:00	2020/01/22 20:02:00	11.083333333333334	14	8	19.0	60	3	35
2020/01/22 20:02:00	2020/01/22 20:03:00	9.216666666666667	13	7	21.26923076923077	60	2	26
2020/01/22 20:03:00	2020/01/22 20:04:00	8.816666666666666	11	6	22.041666666666668	60	2	24
2020/01/22 20:04:00	2020/01/22 20:05:00	9.033333333333333	11	6	17.483870967741936	60	3	31
2020/01/22 20:05:00	2020/01/22 20:06:00	8.45	11	6	15.84375	59	1	32
2020/01/22 20:06:00	2020/01/22 20:07:00	10.116666666666667	13	7	20.233333333333334	60	2	30
2020/01/22 20:07:00	2020/01/22 20:08:00	9.166666666666666	13	6	16.176470588235293	60	1	34
2020/01/22 20:08:00	2020/01/22 20:09:00	7.083333333333333	11	5	18.47826086956522	60	4	23
2020/01/22 20:09:00	2020/01/22 20:10:00	7.15	9	6	23.833333333333332	60	4	18
2020/01/22 20:10:00	2020/01/22 20:11:00	8.3	15	5	15.5625	59	4	32
2020/01/22 20:11:00	2020/01/22 20:12:00	7.75	10	6	22.142857142857142	60	2	21
2020/01/22 20:12:00	2020/01/22 20:13:00	6.483333333333333	10	5	12.548387096774194	60	1	31
2020/01/22 20:13:00	2020/01/22 20:14:00	5.433333333333334	7	4	32.6	60	5	10
2020/01/22 20:14:00	2020/01/22 20:15:00	6.7	10	4	19.142857142857142	60	1	21
2020/01/22 20:15:00	2020/01/22 20:16:00	6.15	8	4	18.45	60	2	20
2020/01/22 20:16:00	2020/01/22 20:17:00	4.833333333333333	7	4	16.11111111111111	59	4	18
2020/01/22 20:17:00	2020/01/22 20:18:00	3.8666666666666667	6	3	16.571428571428573	60	1	14
2020/01/22 20:18:00	2020/01/22 20:19:00	6.066666666666666	11	3	14.56	60	2	25
2020/01/22 20:19:00	2020/01/22 20:20:00	7.583333333333333	12	6	19.782608695652176	60	3	23
2020/01/22 20:20:00	2020/01/22 20:21:00	7.183333333333334	8	6	33.15384615384615	60	1	13
2020/01/22 20:21:00	2020/01/22 20:22:00	5.35	7	3	18.88235294117647	60	1	17
2020/01/22 20:22:00	2020/01/22 20:23:00	5.733333333333333	9	4	20.235294117647058	59	1	17
2020/01/22 20:23:00	2020/01/22 20:24:00	6.516666666666667	9	5	16.291666666666668	60	1	24
2020/01/22 20:24:00	2020/01/22 20:25:00	6.016666666666667	8	4	17.19047619047619	60	1	21
2020/01/22 20:25:00	2020/01/22 20:26:00	6.2	7	4	26.571428571428573	60	3	14
